Symbol,Sector,Industry,CapTier,Category
360ONE,Financials,Financial Services,unknown,
3MINDIA,Industrials,Diversified,unknown,
AADHARHFC,Financials,Financial Services,unknown,
AARTIIND,Materials,Chemicals,unknown,
AAVAS,Financials,Financial Services,unknown,
ABB,Industrials,Capital Goods,unknown,
ABBOTINDIA,Health Care,Healthcare,unknown,
ABCAPITAL,Financials,Financial Services,unknown,
ABFRL,Consumer Discretionary,Consumer Services,unknown,
ABLBL,Consumer Discretionary,Consumer Services,unknown,
ABREL,Real Estate,Realty,unknown,
ABSLAMC,Financials,Financial Services,unknown,
ACC,Materials,Construction Materials,unknown,
ACE,Industrials,Capital Goods,unknown,
ACMESOLAR,Utilities,Power,unknown,
ADANIENSOL,Utilities,Power,unknown,
ADANIENT,Materials,Metals & Mining,unknown,
ADANIGREEN,Utilities,Power,unknown,
ADANIPORTS,Industrials,Services,unknown,
ADANIPOWER,Utilities,Power,unknown,
AEGISLOG,Energy,Oil Gas & Consumable Fuels,unknown,
AEGISVOPAK,Energy,Oil Gas & Consumable Fuels,unknown,
AFCONS,Industrials,Construction,unknown,
AFFLE,Information Technology,Information Technology,unknown,
AGARWALEYE,Consumer Discretionary,Consumer Durables,unknown,
AIAENG,Industrials,Capital Goods,unknown,
AIIL,Financials,Financial Services,unknown,
AJANTPHARM,Health Care,Healthcare,unknown,
AKUMS,Health Care,Healthcare,unknown,
AKZOINDIA,Materials,Chemicals,unknown,
ALKEM,Health Care,Healthcare,unknown,
ALKYLAMINE,Materials,Chemicals,unknown,
ALOKINDS,Consumer Discretionary,Textiles,unknown,
AMBER,Consumer Discretionary,Consumer Durables,unknown,
AMBUJACEM,Materials,Construction Materials,unknown,
ANANDRATHI,Financials,Financial Services,unknown,
ANANTRAJ,Real Estate,Realty,unknown,
ANGELONE,Financials,Financial Services,unknown,
APARINDS,Industrials,Capital Goods,unknown,
APLAPOLLO,Industrials,Capital Goods,unknown,
APLLTD,Health Care,Healthcare,unknown,
APOLLOHOSP,Health Care,Healthcare,unknown,
APOLLOTYRE,Consumer Discretionary,Automobile and Auto Components,unknown,
APTUS,Financials,Financial Services,unknown,
ARE&M,Consumer Discretionary,Automobile and Auto Components,unknown,
ASAHIINDIA,Consumer Discretionary,Automobile and Auto Components,unknown,
ASHOKLEY,Industrials,Capital Goods,unknown,
ASIANPAINT,Consumer Discretionary,Consumer Durables,unknown,
ASTERDM,Health Care,Healthcare,unknown,
ASTRAL,Industrials,Capital Goods,unknown,
ASTRAZEN,Health Care,Healthcare,unknown,
ATGL,Energy,Oil Gas & Consumable Fuels,unknown,
ATHERENERG,Consumer Discretionary,Automobile and Auto Components,unknown,
ATUL,Materials,Chemicals,unknown,
AUBANK,Financials,Financial Services,unknown,
AUROPHARMA,Health Care,Healthcare,unknown,
AWL,Consumer Staples,Fast Moving Consumer Goods,unknown,
AXISBANK,Financials,Financial Services,unknown,
BAJAJ-AUTO,Consumer Discretionary,Automobile and Auto Components,unknown,
BAJAJFINSV,Financials,Financial Services,unknown,
BAJAJHFL,Financials,Financial Services,unknown,
BAJAJHLDNG,Financials,Financial Services,unknown,
BAJFINANCE,Financials,Financial Services,unknown,
BALKRISIND,Consumer Discretionary,Automobile and Auto Components,unknown,
BALRAMCHIN,Consumer Staples,Fast Moving Consumer Goods,unknown,
BANDHANBNK,Financials,Financial Services,unknown,
BANKBARODA,Financials,Financial Services,unknown,
BANKINDIA,Financials,Financial Services,unknown,
BASF,Materials,Chemicals,unknown,
BATAINDIA,Consumer Discretionary,Consumer Durables,unknown,
BAYERCROP,Materials,Chemicals,unknown,
BBTC,Consumer Staples,Fast Moving Consumer Goods,unknown,
BDL,Industrials,Capital Goods,unknown,
BEL,Industrials,Capital Goods,unknown,
BEML,Industrials,Capital Goods,unknown,
BERGEPAINT,Consumer Discretionary,Consumer Durables,unknown,
BHARATFORG,Consumer Discretionary,Automobile and Auto Components,unknown,
BHARTIARTL,Communication Services,Telecommunication,unknown,
BHARTIHEXA,Communication Services,Telecommunication,unknown,
BHEL,Industrials,Capital Goods,unknown,
BIKAJI,Consumer Staples,Fast Moving Consumer Goods,unknown,
BIOCON,Health Care,Healthcare,unknown,
BLS,Consumer Discretionary,Consumer Services,unknown,
BLUEDART,Industrials,Services,unknown,
BLUEJET,Health Care,Healthcare,unknown,
BLUESTARCO,Consumer Discretionary,Consumer Durables,unknown,
BOSCHLTD,Consumer Discretionary,Automobile and Auto Components,unknown,
BPCL,Energy,Oil Gas & Consumable Fuels,unknown,
BRIGADE,Real Estate,Realty,unknown,
BRITANNIA,Consumer Staples,Fast Moving Consumer Goods,unknown,
BSE,Financials,Financial Services,unknown,
BSOFT,Information Technology,Information Technology,unknown,
CAMPUS,Consumer Discretionary,Consumer Durables,unknown,
CAMS,Financials,Financial Services,unknown,
CANBK,Financials,Financial Services,unknown,
CANFINHOME,Financials,Financial Services,unknown,
CAPLIPOINT,Health Care,Healthcare,unknown,
CARBORUNIV,Industrials,Capital Goods,unknown,
CASTROLIND,Energy,Oil Gas & Consumable Fuels,unknown,
CCL,Consumer Staples,Fast Moving Consumer Goods,unknown,
CDSL,Financials,Financial Services,unknown,
CEATLTD,Consumer Discretionary,Automobile and Auto Components,unknown,
CENTRALBK,Financials,Financial Services,unknown,
CENTURYPLY,Materials,Construction Materials,unknown,
CERA,Consumer Discretionary,Consumer Durables,unknown,
CESC,Utilities,Power,unknown,
CGCL,Financials,Financial Services,unknown,
CGPOWER,Industrials,Capital Goods,unknown,
CHALET,Consumer Discretionary,Consumer Services,unknown,
CHAMBLFERT,Materials,Chemicals,unknown,
CHENNPETRO,Energy,Oil Gas & Consumable Fuels,unknown,
CHOICEIN,Financials,Financial Services,unknown,
CHOLAFIN,Financials,Financial Services,unknown,
CHOLAHLDNG,Financials,Financial Services,unknown,
CIPLA,Health Care,Healthcare,unknown,
CLEAN,Materials,Chemicals,unknown,
COALINDIA,Energy,Oil Gas & Consumable Fuels,unknown,
COCHINSHIP,Industrials,Capital Goods,unknown,
COFORGE,Information Technology,Information Technology,unknown,
COHANCE,Health Care,Healthcare,unknown,
COLPAL,Consumer Staples,Fast Moving Consumer Goods,unknown,
CONCOR,Industrials,Services,unknown,
CONCORDBIO,Health Care,Healthcare,unknown,
COROMANDEL,Materials,Chemicals,unknown,
CRAFTSMAN,Consumer Discretionary,Automobile and Auto Components,unknown,
CREDITACC,Financials,Financial Services,unknown,
CRISIL,Financials,Financial Services,unknown,
CROMPTON,Consumer Discretionary,Consumer Durables,unknown,
CUB,Financials,Financial Services,unknown,
CUMMINSIND,Industrials,Capital Goods,unknown,
CYIENT,Information Technology,Information Technology,unknown,
DABUR,Consumer Staples,Fast Moving Consumer Goods,unknown,
DALBHARAT,Materials,Construction Materials,unknown,
DATAPATTNS,Industrials,Capital Goods,unknown,
DBREALTY,Real Estate,Realty,unknown,
DCMSHRIRAM,Industrials,Diversified,unknown,
DEEPAKFERT,Materials,Chemicals,unknown,
DEEPAKNTR,Materials,Chemicals,unknown,
DELHIVERY,Industrials,Services,unknown,
DEVYANI,Consumer Discretionary,Consumer Services,unknown,
DIVISLAB,Health Care,Healthcare,unknown,
DIXON,Consumer Discretionary,Consumer Durables,unknown,
DLF,Real Estate,Realty,unknown,
DMART,Consumer Discretionary,Consumer Services,unknown,
DOMS,Consumer Staples,Fast Moving Consumer Goods,unknown,
DRREDDY,Health Care,Healthcare,unknown,
ECLERX,Industrials,Services,unknown,
EICHERMOT,Consumer Discretionary,Automobile and Auto Components,unknown,
EIDPARRY,Consumer Staples,Fast Moving Consumer Goods,unknown,
EIHOTEL,Consumer Discretionary,Consumer Services,unknown,
ELECON,Industrials,Capital Goods,unknown,
ELGIEQUIP,Industrials,Capital Goods,unknown,
EMAMILTD,Consumer Staples,Fast Moving Consumer Goods,unknown,
EMCURE,Health Care,Healthcare,unknown,
ENDURANCE,Consumer Discretionary,Automobile and Auto Components,unknown,
ENGINERSIN,Industrials,Construction,unknown,
ENRIN,Industrials,Capital Goods,unknown,
ERIS,Health Care,Healthcare,unknown,
ESCORTS,Industrials,Capital Goods,unknown,
ETERNAL,Consumer Discretionary,Consumer Services,unknown,
EXIDEIND,Consumer Discretionary,Automobile and Auto Components,unknown,
FACT,Materials,Chemicals,unknown,
FEDERALBNK,Financials,Financial Services,unknown,
FINCABLES,Industrials,Capital Goods,unknown,
FINPIPE,Industrials,Capital Goods,unknown,
FIRSTCRY,Consumer Discretionary,Consumer Services,unknown,
FIVESTAR,Financials,Financial Services,unknown,
FLUOROCHEM,Materials,Chemicals,unknown,
FORCEMOT,Consumer Discretionary,Automobile and Auto Components,unknown,
FORTIS,Health Care,Healthcare,unknown,
FSL,Industrials,Services,unknown,
GAIL,Energy,Oil Gas & Consumable Fuels,unknown,
GESHIP,Industrials,Services,unknown,
GICRE,Financials,Financial Services,unknown,
GILLETTE,Consumer Staples,Fast Moving Consumer Goods,unknown,
GLAND,Health Care,Healthcare,unknown,
GLAXO,Health Care,Healthcare,unknown,
GLENMARK,Health Care,Healthcare,unknown,
GMDCLTD,Materials,Metals & Mining,unknown,
GMRAIRPORT,Industrials,Services,unknown,
GODFRYPHLP,Consumer Staples,Fast Moving Consumer Goods,unknown,
GODIGIT,Financials,Financial Services,unknown,
GODREJAGRO,Consumer Staples,Fast Moving Consumer Goods,unknown,
GODREJCP,Consumer Staples,Fast Moving Consumer Goods,unknown,
GODREJIND,Industrials,Diversified,unknown,
GODREJPROP,Real Estate,Realty,unknown,
GPIL,Industrials,Capital Goods,unknown,
GRANULES,Health Care,Healthcare,unknown,
GRAPHITE,Industrials,Capital Goods,unknown,
GRASIM,Materials,Construction Materials,unknown,
GRAVITA,Materials,Metals & Mining,unknown,
GRSE,Industrials,Capital Goods,unknown,
GSPL,Energy,Oil Gas & Consumable Fuels,unknown,
GUJGASLTD,Energy,Oil Gas & Consumable Fuels,unknown,
GVT&D,Industrials,Capital Goods,unknown,
HAL,Industrials,Capital Goods,unknown,
HAPPSTMNDS,Information Technology,Information Technology,unknown,
HAVELLS,Consumer Discretionary,Consumer Durables,unknown,
HBLENGINE,Industrials,Capital Goods,unknown,
HCLTECH,Information Technology,Information Technology,unknown,
HDFCAMC,Financials,Financial Services,unknown,
HDFCBANK,Financials,Financial Services,unknown,
HDFCLIFE,Financials,Financial Services,unknown,
HEG,Industrials,Capital Goods,unknown,
HEROMOTOCO,Consumer Discretionary,Automobile and Auto Components,unknown,
HEXT,Information Technology,Information Technology,unknown,
HFCL,Communication Services,Telecommunication,unknown,
HINDALCO,Materials,Metals & Mining,unknown,
HINDCOPPER,Materials,Metals & Mining,unknown,
HINDPETRO,Energy,Oil Gas & Consumable Fuels,unknown,
HINDUNILVR,Consumer Staples,Fast Moving Consumer Goods,unknown,
HINDZINC,Materials,Metals & Mining,unknown,
HOMEFIRST,Financials,Financial Services,unknown,
HONASA,Consumer Staples,Fast Moving Consumer Goods,unknown,
HONAUT,Industrials,Capital Goods,unknown,
HSCL,Materials,Chemicals,unknown,
HUDCO,Financials,Financial Services,unknown,
HYUNDAI,Consumer Discretionary,Automobile and Auto Components,unknown,
ICICIBANK,Financials,Financial Services,unknown,
ICICIGI,Financials,Financial Services,unknown,
ICICIPRULI,Financials,Financial Services,unknown,
IDBI,Financials,Financial Services,unknown,
IDEA,Communication Services,Telecommunication,unknown,
IDFCFIRSTB,Financials,Financial Services,unknown,
IEX,Financials,Financial Services,unknown,
